Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,MVP 1.5x Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
121692-136855,RB,Bijan,Bijan Robinson,Robinson,24.839999389648437,5,13400,20100,ATL@SF,ATL,SF,,,,,,MVP - 1.5X Points/AnyFLEX
121692-55050,RB,Christian,Christian McCaffrey,McCaffrey,20.833333333333332,6,13200,19800,ATL@SF,SF,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
121692-112745,WR,Drake,Drake London,London,15.139999389648438,5,12000,18000,ATL@SF,ATL,SF,,,,,,MVP - 1.5X Points/AnyFLEX
121692-90584,QB,Mac,Mac Jones,Jones,19.344999313354492,4,11000,16500,ATL@SF,SF,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
121692-85607,QB,Brock,Brock Purdy,Purdy,20.719999313354492,2,11000,16500,ATL@SF,SF,ATL,O,Toe,,,,MVP - 1.5X Points/AnyFLEX
121692-88797,QB,Michael,Michael Penix Jr.,Penix Jr.,14.483999633789063,5,10600,15900,ATL@SF,ATL,SF,,,,,,MVP - 1.5X Points/AnyFLEX
121692-102796,WR,Ricky,Ricky Pearsall,Pearsall,12.074999809265137,4,9600,14400,ATL@SF,SF,ATL,O,Knee - pcl,,,,MVP - 1.5X Points/AnyFLEX
121692-80289,WR,Kendrick,Kendrick Bourne,Bourne,10.919999694824218,5,8800,13200,ATL@SF,SF,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
121692-22038,QB,Kirk,Kirk Cousins,Cousins,1.159999966621399,1,8000,12000,ATL@SF,ATL,SF,,,,,,MVP - 1.5X Points/AnyFLEX
121692-39793,TE,George,George Kittle,Kittle,10.5,1,7800,11700,ATL@SF,SF,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
121692-69777,WR,Darnell,Darnell Mooney,Mooney,3.7999998728434243,3,7200,10800,ATL@SF,ATL,SF,Q,Hamstring,,,,MVP - 1.5X Points/AnyFLEX
121692-69307,K,Eddy,Eddy Pineiro,Pineiro,12.8,5,7000,10500,ATL@SF,SF,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
121692-12525,D,Atlanta,Atlanta Falcons,Falcons,7.6,5,6800,10200,ATL@SF,ATL,SF,,,,,,MVP - 1.5X Points/AnyFLEX
121692-12549,D,San Francisco,San Francisco 49ers,49ers,4.5,6,6600,9900,ATL@SF,SF,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
121692-88035,K,Parker,Parker Romo,Romo,8.5,4,6400,9600,ATL@SF,ATL,SF,,,,,,MVP - 1.5X Points/AnyFLEX
121692-61593,WR,Jauan,Jauan Jennings,Jennings,6.650000095367432,4,6000,9000,ATL@SF,SF,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
121692-86080,TE,Kyle,Kyle Pitts Sr.,Pitts Sr.,7.959999847412109,5,5800,8700,ATL@SF,ATL,SF,,,,,,MVP - 1.5X Points/AnyFLEX
121692-91467,TE,Jake,Jake Tonges,Tonges,8.816666920979818,6,5400,8100,ATL@SF,SF,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
121692-90428,RB,Tyler,Tyler Allgeier,Allgeier,7.840000152587891,5,5000,7500,ATL@SF,ATL,SF,,,,,,MVP - 1.5X Points/AnyFLEX
